shop_name,shop_description,shop_address,shop_phone,shop_latitude,shop_longitude,shop_shopping,shop_pickup
Sallo Petshop,Pet store,"Ruko Crystal Lane No 47, Jalan Bhayangkara Raya, Pondok Jagung Timur, Pakualam, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15325", (021) 80821744,-6.237475779165858,106.64947079999999,1,1
Pet Station BSD,Pet store,"Nusa Loka BSD City Blok A2 10-11, Jl. Kalimantan No.11, Rw. Mekar Jaya, Kec. Serpong, Kota Tangerang Selatan, Banten 15310",0851-0022-8055,-6.299772032937892,106.6855853767212,1,1
Laras Satwa Graha Raya,Pet store,"Ruko Orlin Arcade 1 Jalan Boulevard Graha Raya Blok JA No.10, Paku Jaya, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15324",(021) 53121391,-6.236924028977633,106.67768571534424,1,1
Laras Satwa Gading Serpong,Pet store,"Ruko Paramount Glaze Blok B No. 9, JL Raya Kelapa Dua, Gading Serpong, Klp. Dua, Kec. Klp. Dua, Tangerang, Banten 15138",(021) 29321236,-6.242479818243313,106.61755791534424,1,1
Damian Petshop,Pet store,"Perumahan Taman Jaya Blok C1 No. 23G, RT.005/RW.010, Cipondoh Makmur, Kec. Cipondoh, Kota Tangerang, Banten 15148",0812-1362-7480,-6.176458843756094,106.68117393068847,1,1
Qianzi Petstore,Pet store,"Poris Indah C 25 no. 15, RT.015/RW.006, Cipondoh Indah, Kec. Cipondoh, Kota Tangerang, Banten 15141",0815-8560-3321,-6.173573871424062,106.68603964603271,1,1
Viva Vet,Pet store,"Taman Royal, Ruko Eboni No. 21, Jl. Benteng Betawi No.III, RT.006/RW.015, Poris Gaga Baru, Kec. Tangerang, Kota Tangerang, Banten 15119",0878-8941-7529,-6.172892370326149,106.65941673068846,1,1
Damar Petshop,Pet store,"Jl. Raya Benua Indah No.25, RT.001/RW.004, Pabuaran Tumpeng, Kec. Karawaci, Kota Tangerang, Banten 15112",0878-8604-1849,-6.16770835736012,106.61367737870103,1,1
AF3 Petshop,Pet store,"Jl. Beringin Raya No.83-85, RT.004/RW.008, Nusa Jaya, Kec. Karawaci, Kota Tangerang, Banten 15116",0815-5113-256,-6.183962917167777,106.61335578204867,1,1
Tako Petshop,Pet store,"Jalan Bintaro Utama 3 Blok AP No. 64, Pondok Betung, Pd. Betung, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 12330",(021) 7356112,-6.266175798419153,106.74584319564025,1,1
Fajar Petshop,Pet store,"Jl. Anggrek II No.20, RT.11/RW.3, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330",0819-0550-7789,-6.263472473312292,106.76947909717964,1,1
Pet Kingdom,Pet store,"Jl. Jalur Sutera Tim. No.Kav. 11A, RT.001/RW.003, Kunciran, Kec. Pinang, Kota Tangerang, Banten 15143",(021) 29779490,-6.207485512943791,106.66362455276537,1,1
Wendy Pet Store,Pet store,"Jl. Meruya Ilir Raya No.82D, RT.4/RW.8, Srengseng, Kec. Kembangan, Kota Jakarta Barat, DKI Jakarta 11630",(021) 5860042,-6.196747344306324 ,106.75301108465577,1,1
Haagen Petshop,Pet store,"Jl. Meruya Utara No.09b, RT.18/RW.4, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, DKI Jakarta 11620",(021) 58909665,-6.197485774488958,106.73708666931152,1,1
Tanjung Duren Petshop,Pet store,"Jl. Tanjung Duren Barat Raya 1 No.43A-45, RT.12/RW.4, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, DKI Jakarta 11470",(021) 5605392,-6.173096370654783,106.7808789074097,1,1
PDX Petshop,Pet store,"Jl. Mandala Raya No.19, RT.11/RW.1, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, DKI Jakarta 11440", 0852-8000-8080,-6.175022007481398,106.79865125396725,1,1
Pet Republic,Pet store,"Jl. Pluit Karang Bar. No.118, RT.8/RW.2, Pluit, Kec. Penjaringan, Kota Jkt Utara, DKI Jakarta 14450",(021) 22663352,-6.110381684324196,106.77401245396726,1,1
Pandu Petshop,Pet store,"Jalan Kavling Hankam Blok L2 No 3A Rt 08 Rw 02 Joglo Kembangan, RT.8/RW.2, Joglo, Kec. Kembangan, Kota Jakarta Barat, DKI Jakarta 11640",0812-5260-6299,-6.2226374011061525,106.72986944603274,1,1
Laras Satwa Cengkareng,Pet store,"Jl. Taman Palem Lestari No.20, RT.5/RW.13, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, DKI Jakarta 11730",(021) 55962788,-6.13816954531026,106.72362476931151,1,1
Meruya Petshop,Pet store,"Jl. Meruya Ilir Raya No.8, RT.2/RW.1, Srengseng, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620", 0819-804-358,-6.198080068676852,106.76026520000002,1,1
Noel Petshop,Pet store,"Jalan Swadaya Raya No. 110, Kavling Polri Blok G, Jelambar, Grogol petamburan, RT.6/RW.10, Wijaya Kusuma, Jakarta Barat 11450", (021) 29334545,-6.15884964231648,106.77831983068847,1,1
Snoopy Petshop,Pet store,"Kompleks Ruko Green Garden Blok A7 No.60, Jalan Panjang, RT.14/RW.8, Kedoya Utara, Kec. Kb. Jeruk, Jakarta Barat, DKI Jakarta 11520",(021) 5802733,-6.161420949761568,106.76281796137698,1,1
Little Queen Petcare,Pet store,"Jl. Panjang No. 8 Ruko Golden 8, RT.5/RW.11, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520", 0812-1815-6886,-6.1708113341488575,106.76562221534422,1,1
Glory Petshop,Pet store,"Jl. Taman Surya 2 Blok L1 No. 36 H, RT.9/RW.15, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830",0852-1721-4137,-6.135908325072207,106.71644666931152,1,1
Fumi Petshop,Pet store,"Park Residence, Blk. K No.16, RT.7/RW.19, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830", 0813-3048-9669,-6.138466707394435,106.71347436137695,1,1
My Hamy Land Petshop,Pet store,"l. Dr. Saharjo No.321 G, RT.13/RW.2, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810", (021) 8299697,-6.228418699737473,106.84769536616396,1,1
Christin Petshop,Pet store,"Jl. Tebet Raya No.19, RT.20/RW.1, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810", (021) 8294149,-6.228496518031611,106.85151489230353,1,1
Tiny Paw Petshop,Pet store,"Jl. Bri Radio Dalam No.42A, RT.1/RW.1, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140", 0812-7839-2434,-6.254374574996437,106.78929432920474,1,1
Balini Petshop,Pet store,"Pasar Minggu, Jl. Kebagusan Raya No.75A, RT.13/RW.5, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620",0822-7221-6555,-6.320362768177625,106.82510424903798,1,1
